Inv #,Inv Date,Ship Dt,Customer,Amount,Memo
INV-251923,22-Jul-25,22-Jul-25,Parma Community College,"$14,149.27",
INV-251924,22-Jul-25,21-Jul-25,Parma Community College  ,5786.49,Standing order
INV-251925,22-Jul-25,21-Jul-25,Parma Community College  ,"$20,972.71",
INV-251926,2025-07-22,2025-07-22,University Circle Services,3416.07,PO 42362
INV-251927,22-Jul-25,21-Jul-25,University Circle Services,13333.40,
INV-251928,22-Jul-25,22-Jul-25,Westlake Commercial Cleaning Co.,6849.18,PO 43677
INV-251929,2025-07-22,2025-07-22,Westlake Commercial Cleaning Company,"$14,584.17",Standing order
INV-251930,22-Jul-25,22-Jul-25,Youngstown Metal Works Inc.,8417.85,
INV-251931,07/23/2025,07/23/2025,Bayview Medical Center Inc.,"$21,671.96",
INV-251932,2025-07-23,2025-07-23,Clearwater Janitorial Company,15698.58,
INV-251933,23-Jul-25,23-Jul-25,Garfield Industrial Co.,7962.91,
INV-251934,2025-07-23,2025-07-22,Heritage Food Services Inc.,4892.69,
INV-251935,23-Jul-25,23-Jul-25,Sandusky Marine and Supply,16467.55,Standing order
INV-251936,2025-07-23,2025-07-23,Summit Healthcare Group Inc.,"$7,244.02",PO 45785
INV-251937,24-Jul-25,23-Jul-25,Bayview Medical Center Inc.,5988.06,
INV-251938,07/24/2025,07/23/2025,Cedar Point Facility Svcs,"$8,212.26",Standing order
INV-251939,07/24/2025,07/23/2025,Delmar Janitorial Services LLC,14355.01,
INV-251940,07/24/2025,07/24/2025,Great Lakes Logistics Inc.,829.27,
INV-251941,2025-07-24,2025-07-24,Hamilton County Services,6466.37,
INV-251942,2025-07-24,2025-07-24,Harborview Apartments LLC,14373.18,PO 42489
INV-251943,07/24/2025,07/24/2025,Heritage Food Services Inc.,42195.22,
INV-251944,2025-07-24,2025-07-24,Ironwood Property Services,"$7,902.30",Standing order
INV-251945,07/24/2025,07/24/2025,North Coast Restaurants LLC,20878.87,Standing order
INV-251946,2025-07-24,2025-07-24,Oak Ridge Office Parks,6138.24,
INV-251947,2025-07-24,2025-07-23,Stark County Services  ,3616.35,
INV-251948,24-Jul-25,24-Jul-25,Twinsburg Industrial Park LLC,13216.69,
INV-251949,07/24/2025,07/24/2025,Twinsburg Industrial Park LLC,2596.61,
INV-251950,24-Jul-25,24-Jul-25,University Circle Services,11352.35,Standing order
INV-251951,24-Jul-25,23-Jul-25,University Circle Services,"$4,979.23",Standing order
INV-251952,24-Jul-25,24-Jul-25,University Circle Services,6084.87,
INV-251953,07/24/2025,07/24/2025,Westlake Commercial Cleaning Company,"$14,576.17",Standing order
INV-251954,24-Jul-25,23-Jul-25,Westlake Commercial Cleaning Company,5697.35,Standing order
INV-251955,07/24/2025,07/24/2025,Youngstown Metal Works Inc.,5254.23,
INV-251956,2025-07-25,2025-07-25,Garfield Industrial Company  ,2435.19,Standing order
INV-251957,2025-07-25,2025-07-25,Heritage Food Services Inc.,26615.27,
INV-251958,2025-07-25,2025-07-25,Midwest Stadium Services Inc.,4591.24,Standing order
INV-251959,2025-07-25,2025-07-24,Midwest Stadium Services Inc.,"$7,124.92",
INV-251960,25-Jul-25,25-Jul-25,Midwest Stadium Services Inc.,"$5,756.02",
INV-251961,25-Jul-25,24-Jul-25,Pinnacle Building Services Inc.,"$1,408.79",PO 41659
INV-251962,25-Jul-25,24-Jul-25,Summit Healthcare Group Inc.,"$13,346.42",
INV-251963,07/25/2025,07/25/2025,Twinsburg Industrial Park LLC,"$1,284.15",
INV-251964,28-Jul-25,27-Jul-25,Bayview Medical Center Inc.,"$29,840.91",Standing order
INV-251965,07/28/2025,07/27/2025,Bayview Medical Center Inc.,7845.93,PO 44670
INV-251966,2025-07-28,2025-07-28,Bayview Medical Center Inc.  ,6782.42,
INV-251967,28-Jul-25,28-Jul-25,Cardinal Hospitality Group LLC,36425.05,
INV-251968,07/28/2025,07/28/2025,Cedar Point Facility Services,8423.61,Standing order
INV-251969,2025-07-28,2025-07-27,Garfield Industrial Company,14218.27,
INV-251970,2025-07-28,2025-07-27,Hamilton County Services,13528.96,
INV-251971,28-Jul-25,28-Jul-25,Harborview Apartments LLC,18699.81,PO 45834
INV-251972,28-Jul-25,28-Jul-25,Heritage Food Services Inc.,22758.77,
INV-251973,2025-07-28,2025-07-28,Lakeshore Cleaning Services Inc.,7128.00,Standing order
INV-251974,07/28/2025,07/28/2025,Midwest Stadium Services Inc.,4872.48,Standing order
INV-251975,2025-07-28,2025-07-27,Oak Ridge Office Parks,14654.76,PO 46934
INV-251976,28-Jul-25,27-Jul-25,Parma Community College,"$9,863.76",
INV-251977,2025-07-28,2025-07-28,Twinsburg Industrial Park LLC,"$17,695.68",
INV-251978,29-Jul-25,29-Jul-25,Bayview Medical Center,14647.82,
INV-251979,2025-07-29,2025-07-29,Bayview Medical Center Inc.,18421.75,
INV-251980,07/29/2025,07/28/2025,Delmar Janitorial Services LLC,"$19,586.54",
INV-251981,29-Jul-25,29-Jul-25,Eastgate Office Partners,9992.08,
INV-251982,07/29/2025,07/29/2025,Evergreen Senior Living Inc.,"$5,320.57",PO 47750
INV-251983,2025-07-29,2025-07-28,Forest City Hotels and Resorts,9752.80,Standing order
INV-251984,07/29/2025,07/29/2025,Garfield Industrial Company,"$12,232.00",
INV-251985,29-Jul-25,29-Jul-25,Parma Community College,8777.32,Standing order
INV-251986,2025-07-29,2025-07-29,Parma Community College,4323.60,
INV-251987,2025-07-29,2025-07-29,Youngstown Metal Works Inc.,12644.42,
INV-251988,07/30/2025,07/30/2025,Bayview Medical Center Inc.,22220.48,Standing order
INV-251989,30-Jul-25,30-Jul-25,Clearwater Janitorial Company,25939.13,
INV-251990,07/30/2025,07/29/2025,Delmar Janitorial Services LLC,19782.33,
INV-251991,07/30/2025,07/30/2025,Garfield Industrial Company,3754.70,
INV-251992,2025-07-30,2025-07-30,Heritage Food Services Inc.,"$4,938.17",
INV-251993,07/30/2025,07/30/2025,Lorain Distribution Company,8119.18,Standing order
INV-251994,07/30/2025,07/30/2025,Oak Ridge Office Parks,"$12,617.53",
INV-251995,2025-07-30,2025-07-30,Sandusky Marine and Supply,"$20,090.65",
INV-251996,07/30/2025,07/30/2025,Summit Healthcare Group Inc.,14093.47,
INV-251997,07/30/2025,07/30/2025,Willoughby Tech Center,14051.85,
INV-251998,07/31/2025,07/31/2025,Great Lakes Logistics Inc.,"$9,469.61",
INV-251999,07/31/2025,07/31/2025,Highland Manufacturing Company,24776.95,Standing order
INV-252000,2025-07-31,2025-07-31,Medina Auto Group  ,5857.43,Standing order
INV-252001,31-Jul-25,30-Jul-25,Oak Ridge Office Parks,1218.93,
INV-252002,31-Jul-25,30-Jul-25,Sandusky Marine and Supply  ,5442.79,
INV-252003,2025-07-31,2025-07-30,Twinsburg Industrial Park LLC,17811.34,Standing order
INV-252004,07/31/2025,07/31/2025,Twinsburg Industrial Park LLC,3724.72,PO 41726
INV-252005,2025-07-31,2025-07-31,University Circle Services,12227.66,PO 45305
INV-252006,31-Jul-25,31-Jul-25,Youngstown Metal Works Inc.,5180.65,Standing order
INV-252007,2025-07-31,2025-07-30,Youngstown Metal Works Inc.,3896.18,PO 41665
,,,Subtotal - Jul 2025,"$3,262,220.59",
INV-252008,2025-08-01,2025-08-01,Allegheny Property Management LLC,"$17,265.94",Standing order
INV-252009,08/01/2025,07/31/2025,Bayview Medical Center Inc.,"$10,143.71",
INV-252010,2025-08-01,2025-08-01,Evergreen Senior Living Inc.  ,"$6,247.79",Standing order
INV-252011,01-Aug-25,01-Aug-25,Fairlawn Public Schools,8770.13,
INV-252012,08/01/2025,08/01/2025,FOREST CITY HOTELS AND RESORTS,2938.98,
INV-252013,2025-08-01,2025-08-01,Garfield Industrial Company,"$22,840.78",PO 47108
INV-252014,01-Aug-25,01-Aug-25,Garfield Industrial Company,19702.86,PO 48308
INV-252015,2025-08-01,2025-08-01,Great Lakes Logistics Inc.,"$8,346.36",PO 48638
INV-252016,2025-08-01,2025-07-31,Great Lakes Logistics Inc.,"$8,606.75",PO 48711
INV-252017,2025-08-01,2025-08-01,Heritage Food Services Inc.,"$2,489.97",
INV-252018,01-Aug-25,31-Jul-25,Heritage Food Services Inc.  ,"$3,552.52",Standing order
INV-252019,01-Aug-25,01-Aug-25,Kent Valley Hospital,9913.85,
INV-252020,08/01/2025,08/01/2025,Lorain Distribution Company,3107.54,
INV-252021,08/01/2025,08/01/2025,Medina Auto Group,"$8,221.45",
INV-252022,2025-08-01,2025-08-01,Medina Auto Group,"$6,455.83",PO 46337
INV-252023,2025-08-01,2025-08-01,Medina Auto Group,10568.59,
INV-252024,08/01/2025,08/01/2025,Midwest Stadium Services Inc.,"$20,924.93",
INV-252025,08/01/2025,07/31/2025,North Coast Restaurants LLC,5719.95,
INV-252026,08/01/2025,07/31/2025,Parma Community College,10073.18,Standing order
INV-252027,01-Aug-25,01-Aug-25,Summit Healthcare Group Inc.,3211.31,
INV-252028,2025-08-01,2025-08-01,Westlake Commercial Cleaning Company,2818.34,PO 48370
INV-252029,08/01/2025,08/01/2025,Westlake Commercial Cleaning Company,"$4,393.56",PO 43501
INV-252030,01-Aug-25,01-Aug-25,Westlake Commercial Cleaning Company,4803.88,
INV-252031,01-Aug-25,01-Aug-25,Youngstown Metal Works Inc.,7706.30,
INV-252032,04-Aug-25,04-Aug-25,Bayview Medical Center Inc.,1978.79,Standing order
INV-252033,04-Aug-25,04-Aug-25,Cardinal Hospitality Group LLC,"$17,783.68",
INV-252034,08/04/2025,08/03/2025,Cedar Point Facility Services,8609.16,
INV-252035,2025-08-04,2025-08-04,Delmar Janitorial Services LLC,"$20,456.14",
INV-252036,08/04/2025,08/04/2025,Garfield Industrial Company,6298.95,
INV-252037,08/04/2025,08/04/2025,Garfield Industrial Company,7912.35,PO 47621
INV-252038,04-Aug-25,03-Aug-25,Harborview Apartments LLC,10007.77,Standing order
INV-252039,08/04/2025,08/03/2025,Kent Valley Hospital,8316.00,PO 48594
INV-252040,04-Aug-25,04-Aug-25,Lakeshore Cleaning Services Inc.,"$3,023.42",PO 47246
INV-252041,04-Aug-25,03-Aug-25,Midwest Stadium Services Inc.,"$6,660.52",
INV-252042,04-Aug-25,04-Aug-25,Oak Ridge Office Parks,7733.36,
INV-252043,2025-08-04,2025-08-04,Pinnacle Building Services Inc.,4002.26,Standing order
INV-252044,04-Aug-25,04-Aug-25,University Circle Services,2101.90,Standing order
INV-252045,08/04/2025,08/03/2025,Valley View Hotels Inc.,"$11,910.21",
INV-252046,04-Aug-25,04-Aug-25,Westlake Commercial Cleaning Company,"$16,861.58",
INV-252047,2025-08-04,2025-08-04,Westlake Commercial Cleaning Company,"$44,738.78",PO 41341
INV-252048,2025-08-04,2025-08-04,Youngstown Metal Works Inc.,15512.85,
INV-252049,04-Aug-25,04-Aug-25,Youngstown Metal Works Inc.,4662.06,Standing order
INV-252050,2025-08-05,2025-08-05,Hamilton County Services,9267.79,Standing order
INV-252051,2025-08-05,2025-08-05,Lakeshore Cleaning Services Inc.,"$13,135.51",
INV-252052,08/05/2025,08/05/2025,Lorain Distribution Company,8347.91,
INV-252053,08/05/2025,08/04/2025,Midwest Stadium Services Inc.,"$6,153.72",Standing order
INV-252054,05-Aug-25,05-Aug-25,Parma Community College,"$5,339.44",PO 49133
INV-252055,08/05/2025,08/04/2025,Parma Community College,"$2,498.66",PO 42876
INV-252056,05-Aug-25,05-Aug-25,Portage Cold Storage Company,34889.13,
INV-252057,2025-08-05,2025-08-05,Sandusky Marine and Supply,"$7,107.07",
INV-252058,05-Aug-25,04-Aug-25,Summit Healthcare Group Inc.,6653.68,
INV-252059,05-Aug-25,05-Aug-25,Twinsburg Industrial Park LLC,2125.39,
INV-252060,08/05/2025,08/05/2025,Twinsburg Industrial Park LLC,15274.05,PO 40016
INV-252061,08/06/2025,08/05/2025,Cedar Point Facility Services,"$35,315.58",
INV-252062,06-Aug-25,06-Aug-25,Forest City Hotels and Resorts,"$5,834.03",
INV-252063,06-Aug-25,06-Aug-25,Garfield Industrial Company,"$8,303.69",
INV-252064,2025-08-06,2025-08-05,Great Lakes Logistics Inc.,5199.40,
INV-252065,08/06/2025,08/06/2025,Harborview Apartments LLC,6433.23,
INV-252066,08/06/2025,08/06/2025,Heritage Food Services Inc.,22094.20,Standing order
INV-252067,08/06/2025,08/05/2025,Kent Valley Hospital,11027.16,
INV-252068,2025-08-06,2025-08-06,Portage Cold Storage Company,9535.05,
INV-252069,08/06/2025,08/06/2025,Summit Healthcare Group Inc.,1954.87,
INV-252070,06-Aug-25,06-Aug-25,Twinsburg Industrial Park LLC,23789.38,
INV-252071,2025-08-06,2025-08-06,Twinsburg Industrial Park LLC,6674.75,Standing order
INV-252072,08/06/2025,08/06/2025,University Circle Services,3600.59,PO 45846
INV-252073,2025-08-06,2025-08-06,University Circle Services,"$6,710.86",
INV-252074,08/06/2025,08/06/2025,Valley View Hotels Inc.,8294.62,Standing order
INV-252075,08/06/2025,08/06/2025,Westlake Commercial Cleaning Company,7499.09,
INV-252076,07-Aug-25,07-Aug-25,Bayview Medical Center Inc.,3098.54,
INV-252077,08/07/2025,08/07/2025,Cardinal Hospitality Group LLC,"$3,609.04",
INV-252078,2025-08-07,2025-08-07,Cedar Point Facility Services,"$2,807.24",Standing order
INV-252079,08/07/2025,08/07/2025,Cedar Point Facility Services,5944.16,
INV-252080,07-Aug-25,07-Aug-25,Evergreen Senior Living Inc.,"$8,721.75",
INV-252081,07-Aug-25,06-Aug-25,Garfield Industrial Company,8603.84,
INV-252082,07-Aug-25,07-Aug-25,Oak Ridge Office Parks,8968.88,
INV-252083,08/07/2025,08/07/2025,Oak Ridge Office Parks,4723.45,Standing order
INV-252084,2025-08-07,2025-08-07,Parma Community College  ,4949.45,PO 49191
INV-252085,08/07/2025,08/06/2025,Pinnacle Building Services Inc.,"$5,145.39",PO 48295
INV-252086,07-Aug-25,07-Aug-25,Summit Healthcare Group Inc.,"$10,304.26",
INV-252087,08/07/2025,08/07/2025,Twinsburg Industrial Park LLC,7645.16,
INV-252088,08/07/2025,08/07/2025,Twinsburg Industrial Park LLC,11104.06,Standing order
INV-252089,08/07/2025,08/07/2025,Westlake Commercial Cleaning Company,7194.16,PO 44322
INV-252090,07-Aug-25,07-Aug-25,Westlake Commercial Cleaning Company,"$6,181.58",
INV-252091,2025-08-08,2025-08-08,Cedar Point Facility Services,10002.71,Standing order
INV-252092,2025-08-08,2025-08-08,Clearwater Janitorial Company,21767.22,
INV-252093,08-Aug-25,08-Aug-25,Forest City Hotels and Resorts,5714.76,
INV-252094,08/08/2025,08/08/2025,Great Lakes Logistics Inc.,22211.61,
INV-252095,08-Aug-25,08-Aug-25,Hamilton County Services,6417.42,
INV-252096,2025-08-08,2025-08-07,Kent Valley Hospital,5256.04,Standing order
INV-252097,2025-08-08,2025-08-08,Medina Auto Group,22848.43,Standing order
INV-252098,2025-08-08,2025-08-08,MIDWEST STADIUM SERVICES INC.,18347.32,
INV-252099,2025-08-08,2025-08-08,Midwest Stadium Services Inc.,4598.38,PO 40878
INV-252100,08/08/2025,08/08/2025,Parma Community College,"$2,372.06",Standing order
INV-252101,08-Aug-25,08-Aug-25,Pinnacle Building Services Inc.,5753.01,
INV-252102,08/08/2025,08/07/2025,Summit Healthcare Group Inc.,"$12,253.32",PO 45198
INV-252103,2025-08-08,2025-08-08,Twinsburg Industrial Park LLC,"$9,961.41",
INV-252104,08-Aug-25,08-Aug-25,Twinsburg Industrial Park LLC,6981.10,
INV-252105,08/08/2025,08/08/2025,University Circle Services,"$4,992.34",Standing order
INV-252106,2025-08-08,2025-08-08,WESTLAKE COMMERCIAL CLEANING COMPANY,4499.94,PO 43010
INV-252107,08-Aug-25,08-Aug-25,Westlake Commercial Cleaning Company,9693.64,Standing order
INV-252108,2025-08-08,2025-08-08,WILLOUGHBY TECH CENTER,3652.24,
INV-252109,11-Aug-25,11-Aug-25,Evergreen Senior Living Inc.,"$6,803.36",
INV-252110,11-Aug-25,11-Aug-25,EVERGREEN SENIOR LIVING INC.,10212.24,
INV-252111,11-Aug-25,10-Aug-25,Evergreen Senior Living Inc.,10250.87,Standing order
INV-252112,08/11/2025,08/11/2025,Garfield Industrial Company,8548.85,
INV-252113,2025-08-11,2025-08-11,Garfield Industrial Company,3827.78,
INV-252114,11-Aug-25,11-Aug-25,Heritage Food Services Inc.,"$17,718.50",PO 47506
INV-252115,2025-08-11,2025-08-11,HIGHLAND MANUFACTURING COMPANY,"$9,655.34",Standing order
INV-252116,2025-08-11,2025-08-11,Kent Valley Hospital,2848.33,
INV-252117,2025-08-11,2025-08-11,Midwest Stadium Services,"$5,987.84",PO 42528
INV-252118,11-Aug-25,11-Aug-25,Parma Community College,22694.49,PO 45989
INV-252119,08/11/2025,08/11/2025,Summit Healthcare Group Inc.,9733.93,
INV-252120,2025-08-11,2025-08-11,Westlake Commercial Cleaning Company,"$4,945.90",PO 48921
INV-252121,11-Aug-25,11-Aug-25,Westlake Commercial Cleaning Company,"$2,773.42",Standing order
INV-252122,2025-08-11,2025-08-11,Youngstown Metal Works Inc.,"$11,284.83",
INV-252123,2025-08-12,2025-08-12,Bayview Medical Center Inc.,8691.39,
INV-252124,12-Aug-25,11-Aug-25,Bayview Medical Center Inc.,14407.98,PO 49832
INV-252125,12-Aug-25,11-Aug-25,Bayview Medical Center Inc.,3806.67,Standing order
INV-252126,08/12/2025,08/11/2025,Delmar Janitorial Services LLC,"$11,433.81",
INV-252127,12-Aug-25,12-Aug-25,Great Lakes Logistics Inc.,"$8,856.17",PO 42298
INV-252128,12-Aug-25,12-Aug-25,Great Lakes Logistics Inc.,37988.74,
INV-252129,2025-08-12,2025-08-11,Harborview Apartments LLC,9538.47,
INV-252130,08/12/2025,08/12/2025,Ironwood Property Services,6995.33,
INV-252131,08/12/2025,08/12/2025,Medina Auto Group,2596.53,PO 41085
INV-252132,12-Aug-25,12-Aug-25,Oak Ridge Office Parks,10508.72,
INV-252133,2025-08-12,2025-08-11,Twinsburg Industrial Park LLC,"$21,689.18",
INV-252134,12-Aug-25,11-Aug-25,University Circle Services,7844.03,
INV-252135,08/12/2025,08/12/2025,Westlake Commercial Cleaning Company,4019.46,Standing order
INV-252136,2025-08-12,2025-08-11,Youngstown Metal Works Inc.,"$5,574.12",
INV-252137,2025-08-12,2025-08-11,YOUNGSTOWN METAL WORKS INC.,"$5,394.68",
INV-252138,08/12/2025,08/11/2025,Youngstown Metal Works Inc.,7207.43,PO 49512
INV-252139,13-Aug-25,12-Aug-25,Bayview Medical Center Inc.,"$31,362.36",PO 41740
INV-252140,13-Aug-25,13-Aug-25,Clearwater Janitorial Company,4662.84,Standing order
INV-252141,08/13/2025,08/13/2025,Garfield Industrial Company,5598.86,
INV-252142,2025-08-13,2025-08-13,Great Lakes Logistics Inc.,4292.90,
INV-252143,08/13/2025,08/13/2025,Harborview Apartments LLC,18351.00,
INV-252144,2025-08-13,2025-08-13,Medina Auto Group,11938.67,Standing order
INV-252145,2025-08-13,2025-08-12,North Coast Restaurants LLC,"$12,630.33",Standing order
INV-252146,13-Aug-25,13-Aug-25,Parma Community College,"$23,688.32",PO 48243
INV-252147,08/13/2025,08/13/2025,Parma Community College,"$8,724.21",
INV-252148,08/13/2025,08/13/2025,Parma Community College,8888.05,Standing order
INV-252149,13-Aug-25,13-Aug-25,Parma Community College  ,"$10,210.63",Standing order
INV-252150,13-Aug-25,13-Aug-25,Shaker Square Retail Partners,16918.03,PO 48674
INV-252151,08/13/2025,08/12/2025,Westlake Commercial Cleaning Company,6429.10,PO 48569
INV-252152,13-Aug-25,13-Aug-25,Youngstown Metal Works Inc.,"$8,383.94",
INV-252153,2025-08-13,2025-08-13,Youngstown Metal Works,7477.29,
INV-252154,2025-08-14,2025-08-14,Bayview Medical Center Inc.,6356.22,
INV-252155,2025-08-14,2025-08-13,Bayview Medical Center Inc.,3605.12,
INV-252156,14-Aug-25,13-Aug-25,Cardinal Hospitality Group LLC,"$23,234.35",
INV-252157,08/14/2025,08/14/2025,Cedar Point Facility Services,"$14,013.60",PO 47201
INV-252158,2025-08-14,2025-08-14,Evergreen Senior Living Inc.,3051.41,
INV-252159,2025-08-14,2025-08-14,Evergreen Senior Living Inc.,"$4,119.39",
INV-252160,14-Aug-25,13-Aug-25,Garfield Industrial Company  ,6828.38,
INV-252161,08/14/2025,08/14/2025,Great Lakes Logistics Inc.,3335.85,
INV-252162,14-Aug-25,14-Aug-25,Great Lakes Logistics Inc.,17004.46,Standing order
INV-252163,2025-08-14,2025-08-14,Kent Valley Hospital,"$6,907.82",Standing order
INV-252164,2025-08-14,2025-08-14,Oak Ridge Office Parks,5775.74,
INV-252165,14-Aug-25,13-Aug-25,Parma Community College,"$6,461.47",Standing order
INV-252166,2025-08-14,2025-08-14,Riverside Fitness Clubs,10677.37,
INV-252167,2025-08-14,2025-08-14,University Circle Services  ,12885.46,
INV-252168,08/14/2025,08/13/2025,University Circle Services,27436.72,
INV-252169,2025-08-14,2025-08-14,University Circle Services,10537.53,
INV-252170,08/15/2025,08/15/2025,Allegheny Property Management LLC,5824.90,
INV-252171,08/15/2025,08/15/2025,Bayview Medical Center Inc.,21622.13,Standing order
INV-252172,08/15/2025,08/15/2025,Cedar Point Facility Services,3929.89,
INV-252173,2025-08-15,2025-08-15,Evergreen Senior Living Inc.,"$12,251.82",
INV-252174,2025-08-15,2025-08-14,Evergreen Senior Living Inc.,6955.09,PO 42357
INV-252175,08/15/2025,08/15/2025,Garfield Industrial Company,"$1,546.16",
INV-252176,2025-08-15,2025-08-15,Heritage Food Services Inc.,4603.68,PO 48910
INV-252177,08/15/2025,08/15/2025,Lorain Distribution Company,3590.37,
INV-252178,2025-08-15,2025-08-15,Oak Ridge Office Parks,"$9,430.88",
INV-252179,15-Aug-25,15-Aug-25,Parma Community College,5770.66,PO 43696
INV-252180,15-Aug-25,15-Aug-25,Pinnacle Building Services Inc.,26708.81,
INV-252181,2025-08-15,2025-08-14,Pinnacle Building Services Inc.  ,18916.03,PO 45565
INV-252182,2025-08-15,2025-08-14,Sandusky Marine and Supply,"$16,418.23",PO 42753
INV-252183,08/15/2025,08/15/2025,Sandusky Marine and Supply,"$7,120.55",
INV-252184,15-Aug-25,14-Aug-25,Sandusky Marine and Supply  ,4042.64,Standing order
INV-252185,2025-08-15,2025-08-15,Shaker Square Retail Partners,"$7,381.76",
INV-252186,15-Aug-25,15-Aug-25,Summit Healthcare Group Inc.,"$14,155.72",
INV-252187,2025-08-15,2025-08-14,Twinsburg Industrial Park LLC,"$6,352.47",Standing order
INV-252188,2025-08-15,2025-08-15,Twinsburg Industrial Park LLC,3351.18,PO 42116
INV-252189,08/15/2025,08/14/2025,Twinsburg Industrial Park LLC  ,9756.01,
INV-252190,2025-08-15,2025-08-14,Twinsburg Industrial Park LLC,8891.78,
INV-252191,2025-08-15,2025-08-15,University Circle Services,"$1,847.48",PO 45991
INV-252192,15-Aug-25,15-Aug-25,Westlake Commercial Cleaning Co.,8554.17,
INV-252193,2025-08-15,2025-08-15,Westlake Commercial Cleaning Company,"$3,427.91",PO 43763
INV-252194,08/15/2025,08/15/2025,Westlake Commercial Cleaning Company,4231.51,PO 48556
INV-252195,2025-08-15,2025-08-15,Youngstown Metal Works Inc.,"$22,019.18",Standing order
INV-252196,2025-08-15,2025-08-14,Youngstown Metal Works Inc.,7478.18,Standing order
INV-252197,18-Aug-25,18-Aug-25,Bayview Medical Center Inc.,11529.37,
INV-252198,18-Aug-25,18-Aug-25,Cedar Point Facility Services,"$2,868.80",Standing order
INV-252199,18-Aug-25,18-Aug-25,Eastgate Office Partners,8959.59,Standing order
INV-252200,08/18/2025,08/18/2025,Evergreen Senior Living Inc.,1905.65,PO 45843
INV-252201,18-Aug-25,18-Aug-25,Great Lakes Logistics,"$7,337.79",Standing order
INV-252202,2025-08-18,2025-08-18,Heritage Food Services Inc.,4555.53,Standing order
INV-252203,2025-08-18,2025-08-18,Ironwood Property Services,"$24,200.20",
INV-252204,2025-08-18,2025-08-18,Kent Valley Hospital,"$4,453.67",PO 47180
INV-252205,18-Aug-25,17-Aug-25,Kent Valley Hospital,"$47,754.18",
INV-252206,08/18/2025,08/17/2025,Medina Auto Group,"$10,242.58",
INV-252207,18-Aug-25,17-Aug-25,Oak Ridge Office Parks,8139.79,
INV-252208,18-Aug-25,18-Aug-25,Oak Ridge Office Parks,5930.63,Standing order
INV-252209,2025-08-18,2025-08-18,Parma Community College,"$8,164.75",
INV-252210,2025-08-18,2025-08-18,Parma Community College,6735.43,
INV-252211,2025-08-18,2025-08-18,Riverside Fitness Clubs LLC,4097.58,Standing order
INV-252212,18-Aug-25,18-Aug-25,Sandusky Marine and Supply  ,17867.14,
INV-252213,2025-08-18,2025-08-18,Sandusky Marine and Supply  ,20746.15,
INV-252214,08/18/2025,08/18/2025,Twinsburg Industrial Park LLC,"$1,599.95",
INV-252215,18-Aug-25,18-Aug-25,Twinsburg Industrial Park LLC  ,19934.66,
INV-252216,08/18/2025,08/18/2025,Twinsburg Industrial Park LLC,"$3,640.18",
INV-252217,08/18/2025,08/18/2025,University Circle Services  ,2410.15,PO 49701
INV-252218,08/18/2025,08/18/2025,Youngstown Metal Works Inc.,3705.96,Standing order
INV-252219,2025-08-18,2025-08-18,Youngstown Metal Works Inc.,16681.94,
INV-252220,2025-08-18,2025-08-18,Youngstown Metal Works,5537.57,
INV-252221,2025-08-19,2025-08-19,BAYVIEW MEDICAL CENTER INC.,2242.37,PO 45389
INV-252222,19-Aug-25,18-Aug-25,Clearwater Janitorial Company,"$9,067.23",Standing order
INV-252223,2025-08-19,2025-08-19,EVERGREEN SENIOR LIVING INC.,"$9,653.37",PO 46723
INV-252224,08/19/2025,08/19/2025,Fairlawn Public Schools,4049.49,
INV-252225,2025-08-19,2025-08-19,Great Lakes Logistics Inc.,2044.31,
INV-252226,2025-08-19,2025-08-19,Harborview Apartments LLC,"$10,416.06",Standing order
INV-252227,19-Aug-25,19-Aug-25,Harborview Apartments LLC,10900.29,
INV-252228,08/19/2025,08/19/2025,Medina Auto Group,2118.25,
INV-252229,08/19/2025,08/19/2025,Midwest Stadium Services Inc.,1860.21,
INV-252230,08/19/2025,08/19/2025,Pinnacle Building Services Inc.,11139.30,
INV-252231,2025-08-19,2025-08-18,Portage Cold Storage Company,"$10,552.43",
INV-252232,2025-08-19,2025-08-19,Twinsburg Industrial Park LLC,4152.64,Standing order
INV-252233,2025-08-19,2025-08-19,Twinsburg Industrial Park LLC,"$2,304.03",PO 44231
INV-252234,08/19/2025,08/19/2025,University Circle Services,5643.55,
INV-252235,2025-08-19,2025-08-19,University Circle Services,"$44,525.33",Standing order
INV-252236,2025-08-19,2025-08-19,Youngstown Metal Works Inc.,"$25,987.26",
INV-252237,20-Aug-25,19-Aug-25,Bayview Medical Center,9789.73,
INV-252238,08/20/2025,08/20/2025,Eastgate Office Partners,"$2,214.89",Standing order
INV-252239,08/20/2025,08/20/2025,Evergreen Senior Living Inc.,"$5,751.08",PO 43787
INV-252240,08/20/2025,08/20/2025,Garfield Industrial Company,10736.55,
INV-252241,2025-08-20,2025-08-19,HERITAGE FOOD SERVICES INC.,"$4,715.76",
INV-252242,20-Aug-25,19-Aug-25,Lorain Distribution Company,14660.01,
INV-252243,2025-08-20,2025-08-20,Sandusky Marine and Supply,9042.97,Standing order
INV-252244,08/20/2025,08/19/2025,Twinsburg Industrial Park LLC,9914.78,
INV-252245,2025-08-20,2025-08-19,Twinsburg Industrial Park LLC,7055.99,
INV-252246,08/20/2025,08/20/2025,Westlake Commercial Cleaning Company,11917.29,Standing order
INV-252247,08/20/2025,08/20/2025,WESTLAKE COMMERCIAL CLEANING COMPANY,6877.01,PO 41919
